"age_group","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"0-18",14654.9581809551,15342.6631211727,15229.5931983598,14901.3742098343,15017.5097925347,14076.9502048272,13844.7881152292,14369.0727739128,15204.9239372039,15417.6396448193
"19-35",16638.3661684541,17478.2494065394,17177.7057332517,16383.7588616105,15880.1323334625,15155.5369537327,14431.8717912164,14775.3258526732,15388.5099979058,15753.6041074774
"36-65",17182.4576954874,18100.0321613486,18076.556617805,17576.6715491124,17464.6886680338,16752.269404216,16387.2212777269,16634.9415818469,17401.8968768633,17844.4568711804
"65+",13788.1107574539,14804.9458783322,14751.721183767,14991.5679831959,15547.7672311157,15636.4735103376,15862.25144959,16044.1682141911,16583.8479746258,16880.8618150189
