"person_id","household_id","year_born","sex","employed","retired","education","net_income","gross_income"
7502,75,1964,2,1,0,200,0,0
7503,75,1992,2,1,0,500,5026.4,5500.7
7901,79,1966,1,1,0,200,8092.3,8092.3
8001,80,1971,2,1,0,200,7636.1,7636.1
8101,81,1939,1,0,1,0,0,0
8102,81,1937,2,0,0,0,0,0
8201,82,1980,1,1,0,500,25886,33768.3
8202,82,1980,2,1,0,500,23491.8,30141.1
8203,82,2012,2,0,0,NA,NA,NA
8204,82,2014,1,0,0,NA,NA,NA
8301,83,1974,2,1,0,500,0,0
8302,83,1975,1,1,0,200,15380.4,16897.4
8303,83,2007,1,0,0,NA,NA,NA
8304,83,2009,1,0,0,NA,NA,NA
8401,84,1951,1,0,1,200,0,0
8402,84,1959,2,0,0,200,0,0
8403,84,1932,2,0,0,0,0,0
8501,85,1948,2,0,1,200,0,0
8502,85,1956,2,0,0,0,0,0
8503,85,1984,1,0,0,500,1291.7,1409.5
8701,87,1961,1,1,0,200,15221.9,18361.6
8702,87,1964,2,0,0,200,1209.7,1288.5
8801,88,1989,1,1,0,500,24371.7,32080.8
8802,88,1963,2,0,0,200,0,0
8803,88,1986,2,1,0,500,0,0
8804,88,1959,1,1,0,300,30910.8,40691.2
8901,89,1963,2,0,0,200,0,0
8902,89,1960,1,0,0,200,0,0
9001,90,1961,1,0,0,200,9244,10073.1
9002,90,1968,2,0,0,100,0,0
9003,90,1932,1,0,1,0,0,0
9004,90,2001,1,0,0,100,0,0
9005,90,2004,1,0,0,NA,NA,NA
9006,90,1932,2,0,0,0,0,0
9101,91,1977,1,1,0,200,7186.8,8225.3
9102,91,1977,2,1,0,300,14439.3,15426
9103,91,2003,1,0,0,NA,NA,NA
9104,91,2004,1,0,0,NA,NA,NA
9201,92,1935,2,0,1,100,0,0
9202,92,1932,1,0,1,100,0,0
9203,92,1969,1,0,0,100,0,0
9301,93,1963,2,1,0,500,38021.1,52232.1
9302,93,1962,1,1,0,500,44916.8,62918.9
9303,93,2001,2,0,0,200,0,0
9401,94,1998,1,0,0,344,0,0
9501,95,1952,1,0,1,300,0,0
9502,95,1964,2,1,0,500,4931.7,5366.2
9503,95,2003,1,0,0,NA,NA,NA
9801,98,1991,1,1,0,344,7661.41,8414.12
9802,98,1956,1,0,0,300,0,0
9803,98,1961,2,1,0,300,23959.7,31228.7
9901,99,1943,1,0,1,100,0,0
9902,99,1954,2,1,0,500,11158.3,11914.9
9903,99,1980,1,0,0,200,2449.5,2721.7
9904,99,1986,2,1,0,500,12738.6,14805.4
10001,100,1932,2,0,0,500,0,0
10101,101,1948,2,0,0,300,0,0
10102,101,1947,1,0,1,500,0,0
10201,102,1953,1,0,1,200,5456.3,6739.6
10301,103,1941,1,0,1,500,0,0
10302,103,1950,2,0,0,300,0,0
10401,104,1965,2,1,0,300,5019.4,5376.1
10402,104,1965,1,1,0,300,5079,5435.9
10403,104,2000,1,0,0,344,0,0
10501,105,1950,2,0,1,200,0,0
10502,105,1982,2,1,0,300,9182.2,10210.8
10601,106,1973,1,1,0,500,42616.4,60765.6
10602,106,1977,2,1,0,500,34772.2,47861.5
10603,106,2008,1,0,0,NA,NA,NA
10604,106,2012,1,0,0,NA,NA,NA
10701,107,1964,1,1,0,300,35303.1,49015.2
10702,107,2001,2,0,0,200,0,0
10801,108,1975,2,0,0,300,0,0
10802,108,1971,1,1,0,500,28287.8,37400.8
10901,109,1932,2,0,1,200,0,0
11001,110,1940,2,0,1,200,0,0
11101,111,1988,1,0,0,344,0,0
11102,111,1951,1,0,1,100,0,0
11103,111,1952,2,1,0,300,2944.3,3784.9
11201,112,1973,1,1,0,200,0,0
11202,112,1975,2,1,0,300,23449.78,27815.1
11203,112,2000,1,0,0,353,0,0
11204,112,2004,2,0,0,NA,NA,NA
11205,112,2007,1,0,0,NA,NA,NA
11301,113,1962,2,1,0,200,8183.6,8738.5
11302,113,1963,1,1,0,200,16915.3,20430
11303,113,1997,1,0,0,344,0,0
11401,114,1934,1,0,1,0,0,0
11402,114,1941,2,0,1,0,0,0
11501,115,1942,1,0,1,300,0,0
11502,115,1993,2,1,0,200,12571.9,14509
11503,115,1993,1,1,0,200,4018.69,4389.57
11504,115,1992,1,1,0,344,9919.7,10879.5
11601,116,1932,2,0,1,0,0,0
11701,117,1984,1,1,0,200,13760.7,20412.2
11702,117,1987,2,1,0,500,11018.6,11867.3
11801,118,1951,1,0,1,100,0,0
